N_imp,P_imp,K_imp,Ca_imp,Mg_imp
4.738,0.26,5.14,1.29,0.17
5.179,0.25,5.03,1.19,0.22
5.233,0.26,5.15,1.03,0.36000000000000004
5.416999999999999,0.28,5.19,1.27,0.25
6.014,0.31,4.82,1.09,0.25
5.995,0.26,4.69,1.27,0.48
4.161,0.22,4.81,1.22,0.5
4.878,0.20000000000000004,4.91,0.9899999999999999,0.41
5.7,0.31,5.41,1.21,0.52
5.858,0.31,4.85,1.16,0.34
6.248,0.31,4.76,0.94,0.42
6.372,0.3,5.48,0.9899999999999999,0.36000000000000004
5.866666666666667,0.4266666666666667,4.66,1.0266666666666666,0.6066666666666667
5.799766666666667,0.5666666666666667,6.039999999999999,1.1566666666666667,0.5733333333333334
6.409666666666666,0.48333333333333334,5.223333333333334,1.0066666666666666,0.5966666666666667
4.773666666666666,0.2833333333333334,4.236666666666667,1.3266666666666667,0.5866666666666667
5.1000000000000005,0.2733333333333334,4,1.1500000000000001,0.41333333333333333
5.8999999999999995,0.42333333333333334,5.87,1.2166666666666668,0.59
5.183333333333334,0.5533333333333333,4.876666666666666,0.9099999999999998,0.5333333333333333
5.510000000000001,0.43,5.763333333333333,1.7966666666666666,0.49333333333333323
5.789933333333334,0.4166666666666667,3.9233333333333333,0.6733333333333333,0.38999999999999996
5.906666666666666,0.4066666666666667,4.47,0.7033333333333333,0.62
6.284666666666666,0.49666666666666665,5.239999999999999,0.8566666666666668,0.57
5.6370000000000005,0.58,4.843333333333333,0.8433333333333334,0.45999999999999996
5.958666666666667,0.44,5.44,0.9533333333333335,0.5133333333333333
5.541,0.3633333333333333,5.599999999999999,1.4100000000000001,0.6066666666666667
6.033333333333334,0.5566666666666666,5.2299999999999995,0.9766666666666666,0.5033333333333333
5.265333333333333,0.29000000000000004,3.893333333333333,1.0433333333333332,0.5135200000000001
5.215,0.3553233333333334,5.2,0.73,0.6
6.242999999999999,0.5066666666666667,5.926666666666667,0.7533333333333333,0.41
5.861999999999999,0.42887000000000003,4.973333333333334,0.9766666666666666,0.5833333333333334
5.464666666666666,0.4333333333333333,5.813333333333333,0.8833333333333333,0.48
6.1290000000000004,0.4066666666666667,5.716666666666666,1.0033333333333332,0.5066666666666667
5.333333333333333,0.3666666666666667,3.9866666666666664,0.6966666666666667,0.5133333333333333
5.900000000000001,0.4033333333333333,4.273333333333333,0.8566666666666668,0.45333333333333337
6.033333333333334,0.39666666666666667,5.59,0.8966666666666666,0.6699999999999999
6.333333333333333,0.5499999999999999,5.283333333333332,0.6233333333333334,0.5599999999999999
5.809666666666666,0.38666666666666666,4.846666666666667,1.0266666666666666,0.63
6.196866666666668,0.3562433333333333,5.253333333333334,0.8566666666666668,0.5833333333333334
5.333333333333333,0.41,5.02,0.87,0.5299999999999999
6,0.42,5.5566666666666675,0.8733333333333334,0.36000000000000004
5.965333333333334,0.38999999999999996,4.73,0.9533333333333335,0.5266666666666667
6.416666666666667,0.3866666666666667,4.373333333333334,0.9166666666666666,0.5133333333333333
4.914,0.3866666666666667,5.243333333333333,1.3633333333333333,0.5466666666666667
5.233333333333333,0.32666666666666666,4.346666666666667,1.4100000000000001,0.5866666666666667
5.433333333333334,0.51,4.63,0.91,0.6866666666666666
5.647333333333333,0.3633333333333333,4.646666666666667,0.84,0.41333333333333333
6.2,0.5266666666666667,5.613333333333333,1.0821266666666667,0.43
5.523666666666667,0.3766666666666667,6.303333333333334,0.9833333333333334,0.5633333333333334
6.003333333333333,0.4366666666666667,6.136666666666667,0.8933333333333332,0.64
5.567,0.5099999999999999,5.776666666666666,0.5966666666666667,0.49333333333333335
5.996666666666666,0.5266666666666667,4.46,1.1933333333333334,0.54
6.04,0.5099999999999999,5.63,1.0133333333333334,0.6633333333333333
6,0.5099999999999999,5.4366666666666665,0.6833333333333332,0.6466666666666666
4.71,0.37000000000000005,5.016666666666667,0.89,0.53
5.8,0.39999999999999997,5.539999999999999,0.9466666666666667,0.5133333333333333
5.8999999999999995,0.38666666666666666,4.14,0.8266666666666667,0.66
5.466666666666666,0.32333333333333336,4.523333333333333,1.29,0.6233333333333333
6.660333333333333,0.4366666666666667,4.239999999999999,0.8033333333333333,0.7333333333333334
4.9126666666666665,0.3566666666666667,4.656666666666667,1.0233333333333332,0.48
5.355666666666667,0.36999999999999994,4.66,0.8233333333333334,0.43999999999999995
5.7,0.38000000000000006,4.726666666666667,0.8133333333333334,0.5133333333333333
4.8260000000000005,0.42333333333333334,6.5566666666666675,1.0466666666666666,0.6266666666666667
5.667666666666666,0.5299999999999999,6.170000000000001,0.89,0.4666666666666666
5.666666666666667,0.42,5.3133333333333335,1.19366,0.4666666666666666
5.8773333333333335,0.4266666666666667,5.446666666666666,1.0733333333333333,0.52
5.624666666666667,0.37333333333333335,6.03,0.9900000000000001,0.6299999999999999
4.4430000000000005,0.5466666666666667,5.723333333333334,0.5,0.4466666666666667
6.062666666666666,0.42333333333333334,6.196666666666666,0.9933333333333333,0.42
6.112666666666667,0.4366666666666667,4.9366666666666665,1.1766666666666665,0.47333333333333333
5.955333333333333,0.4566666666666666,5.14,1.0599999999999998,0.5433333333333333
5.833333333333333,0.4166666666666667,4.286666666666666,1.2433333333333334,0.47333333333333333
5.989,0.36000000000000004,4.03,0.8300000000000001,0.5066666666666667
5,0.49333333333333335,4.963333333333334,0.88,0.47475333333333336
5.766666666666666,0.4666666666666666,5.396666666666667,1.1033333333333335,0.5966666666666667
5.458333333333333,0.5433333333333333,4.6899999999999995,0.8233333333333334,0.6666666666666666
6.066666666666666,0.3633333333333333,5.876666666666666,1.05,0.6333333333333333
5.933333333333333,0.4833333333333334,5.506666666666668,1.0133333333333334,0.58
5.156,0.32,3.76,0.9,0.4000000000000001
6.055,0.32,3.42,0.92,0.53
6.268,0.38000000000000006,3.91,0.82,0.45
6.324000000000001,0.38999999999999996,3.6199999999999997,0.9499999999999998,0.53
5.519666666666667,0.4533333333333333,5.646666666666666,1.1199999999999999,0.5833333333333334
5.776666666666666,0.41,4.616666666666667,0.8766666666666666,0.5433333333333333
5.405,0.39333333333333337,5.206666666666667,1.2933333333333332,0.5866666666666667
4.445666666666667,0.36999999999999994,5.233333333333333,1.0633333333333335,0.5633333333333334
5.539000000000001,0.32666666666666666,5.78,1.0233333333333334,0.6833333333333332
6.111666666666667,0.4366666666666667,5.390423333333334,1.3166666666666667,0.6366666666666667
5.524666666666666,0.26,4.62,0.9900000000000001,0.5566666666666666
5.599999999999999,0.4266666666666667,4.6433333333333335,0.8666666666666667,0.4766666666666666
4.618,0.16,2.04,0.36999999999999994,0.17
5.438,0.32,3.1199999999999997,0.59,0.32
6.134,0.41,3.5400000000000005,0.81,0.47
6.285,0.45,3.51,0.85,0.47
5.436666666666667,0.3566666666666667,4.14192,0.9400000000000001,0.42333333333333334
5.766666666666667,0.3733333333333333,4.3,0.9066666666666667,0.5766666666666667
5.366666666666667,0.4166666666666667,5.006666666666667,0.9666666666666668,0.6466666666666667
5.206333333333333,0.5833333333333334,4.873333333333334,1.0999999999999999,0.5933333333333334
6.1000000000000005,0.5299999999999999,6.206666666666666,1.1400000000000001,0.5066666666666667
5.195333333333333,0.37666666666666665,5.180000000000001,1.04,0.5733333333333333
5.686666666666667,0.4033333333333333,4.943333333333333,0.9666666666666668,0.5766666666666667
5.372,0.5033333333333333,4.536666666666666,0.9366666666666666,0.6433333333333333
6.1819999999999995,0.4000000000000001,3.35,0.88,0.55
5.309,0.36999999999999994,3.42,0.9,0.47
6.22,0.34,3.15,1.04,0.57
6.203,0.38000000000000006,3.2900000000000005,0.87,0.51
6.007333333333334,0.42,3.3866666666666667,0.9029966666666667,0.5266666666666667
5.538333333333334,0.4066666666666667,4.836666666666667,1.1666666666666667,0.64
5.8,0.5666666666666668,5.416666666666667,0.7599999999999999,0.48333333333333334
6.333333333333333,0.48666666666666664,5.283333333333334,1.1700533333333334,0.6766666666666667
4.876666666666666,0.33,4.743333333333333,1.4799999999999998,0.7200000000000001
5.888000000000001,0.39666666666666667,4.4799999999999995,1.1766666666666665,0.53186
5.866666666666667,0.4033333333333333,5.276666666666667,0.9700000000000001,0.5800000000000001
5.8,0.5800000000000001,6.253333333333333,1.21,0.6266666666666666
4.517,0.24,3.31,0.89,0.29
5.27,0.32,3.5400000000000005,0.77,0.33
5.988,0.4000000000000001,3.8800000000000003,0.83,0.38000000000000006
6.044,0.4000000000000001,3.7999999999999994,0.7600000000000001,0.36999999999999994
6.198,0.34,3.86,0.79,0.3499999999999999
6.44,0.4000000000000001,3.6300000000000003,0.93,0.4000000000000001
5.775666666666667,0.47333333333333333,5.116666666666666,0.7733333333333333,0.4366666666666667
5.166666666666667,0.5433333333333333,5.09,1.19,0.5433333333333333
6.099,0.39666666666666667,5.180000000000001,1.0199999999999998,0.8799999999999999
5.8,0.41,5.03,0.8266666666666667,0.43
6.166666666666667,0.5133333333333333,4.786666666666667,0.7266666666666666,0.52
5.666666666666667,0.46,5.076666666666667,1.0999999999999999,0.5966666666666667
5.652333333333334,0.4366666666666667,4.760000000000001,1.2266666666666668,0.5666666666666667
5.666666666666667,0.4266666666666667,5.013333333333333,1,0.4633333333333333
6.120616666666666,0.38000000000000006,4.226666666666667,0.8266666666666667,0.6002766666666667
5.366666666666667,0.36000000000000004,3.776666666666667,0.7166666666666667,0.5133333333333333
5.626333333333332,0.36999999999999994,5.098253333333333,0.7999999999999999,0.52
5.5,0.47000000000000003,5.266666666666667,1.1633333333333333,0.5033333333333333
5.206,0.23,3.82,1.24,0.28
5.907,0.34,3.8800000000000003,0.91,0.3
6.444,0.3499999999999999,4.02,0.81,0.34
6.721,0.44,4.29,0.83,0.36000000000000004
6.797999999999999,0.38000000000000006,4.13,0.84,0.33
6.715,0.38000000000000006,3.8800000000000003,0.86,0.3499999999999999
6,0.5733333333333334,5.539999999999999,0.9266666666666667,0.48666666666666664
5.8,0.49333333333333335,4.69,1.2033333333333331,0.52
5.833333333333333,0.4033333333333333,4.533333333333334,0.7600000000000001,0.4666666666666666
5.366666666666667,0.28,4.53,1.0266666666666666,0.47
5.5,0.4033333333333333,5.583333333333333,1.2066666666666668,0.4266666666666667
5.8,0.5266666666666667,5.420000000000001,1.5899999999999999,0.5166666666666667
5.866666666666667,0.5166666666666666,5.166666666666667,0.8566666666666668,0.6233333333333333
5.522333333333333,0.45999999999999996,5.989999999999999,1.0433333333333332,0.47
4.964526666666667,0.33,5.294486666666667,0.9769233333333333,0.48333333333333334
5.514666666666666,0.43,5.81,1.0766666666666664,0.5533333333333333
5.324333333333333,0.39999999999999997,3.9233333333333333,0.9233333333333335,0.53601
5.366666666666666,0.3466666666666667,5.126666666666667,1.0633333333333332,0.5066666666666667
4.77,0.24,3.3800000000000003,1.05,0.29
5.582,0.3,3.65,1.11,0.34
5.934,0.34,3.6300000000000003,0.79,0.3
6.131,0.36000000000000004,3.53,0.86,0.33
6.36,0.32,3.2999999999999994,0.85,0.3
6.349,0.31,3.43,0.86,0.3
5.435,0.22,3.7900000000000005,0.89,0.28
6.486,0.33,3.39,0.7799999999999999,0.3
6.335,0.28,3.3800000000000003,0.7600000000000001,0.27
6.267666666666666,0.49,5.513333333333333,1.0033333333333332,0.4833333333333334
5.726,0.38666666666666666,4.433333333333334,1.0033333333333334,0.4833333333333334
6.346999999999999,0.5,4.59,1.1133333333333333,0.49333333333333335
5.575,0.33666666666666667,4.75,1.0306066666666667,0.44333333333333336
6.107666666666667,0.4033333333333333,4.7299999999999995,0.8166666666666668,0.7266666666666667
5.793333333333333,0.48333333333333334,5.566666666666666,1.0599999999999998,0.4566666666666667
5.562666666666666,0.3333333333333333,4.2299999999999995,1.22,0.59
5.433333333333334,0.2733333333333334,4.12,1.1833333333333333,0.5233333333333333
5.245666666666668,0.4766666666666666,6.246666666666667,0.7599999999999999,0.5733333333333334
5.7313,0.38999999999999996,5.716666666666666,0.73,0.5033333333333333
5.3171,0.49333333333333335,5.386666666666667,0.9566666666666667,0.6266666666666666
6.113333333333333,0.58,5.493333333333333,0.75,0.49000000000000005
4.751,0.5466666666666667,4.6499999999999995,1.0799999999999998,0.3833333333333333
6.066666666666666,0.4633333333333334,4.883333333333333,0.9166666666666666,0.49333333333333335
6.041666666666667,0.4000000000000001,5.68,1.0566666666666666,0.49666666666666665
5.383333333333333,0.48999999999999994,5.426666666666666,0.9766666666666666,0.6699999999999999
5.401666666666666,0.43333333333333335,6.303333333333334,0.6766666666666667,0.5033333333333333
4.949666666666666,0.2966666666666667,4.276666666666666,1.24,0.52
4.007,0.23,3.2099999999999995,0.9,0.28
4.476,0.29,3.61,0.88,0.36000000000000004
5.715,0.4000000000000001,3.4599999999999995,0.8000000000000002,0.36999999999999994
6.108999999999999,0.42,3.4500000000000006,0.89,0.42
6.259,0.42,3.2999999999999994,0.75,0.38999999999999996
6.403,0.38999999999999996,3.44,0.9,0.42
5.951333333333333,0.48666666666666664,3.91,1.1009333333333335,0.65
5.3,0.37333333333333335,3.78,0.7866666666666666,0.6033333333333334
5.891000000000001,0.32333333333333336,5.34,1.1900000000000002,0.3
5.7700000000000005,0.4033333333333333,5.5,1.39,0.5366666666666666
6.101333333333334,0.35333333333333333,4.04,1.3866666666666667,0.5266666666666667
5.921333333333333,0.35333333333333333,4.4399999999999995,0.7666666666666666,0.43999999999999995
5.8,0.38999999999999996,5.043333333333333,1.1966666666666665,0.58
5.73,0.44333333333333336,5.5633333333333335,1.0366666666666666,0.4066666666666667
5.469999999999999,0.5566666666666666,4.443333333333333,0.8833333333333333,0.45
5.945466666666666,0.32666666666666666,3.6199999999999997,1.1666666666666665,0.45
5.766666666666666,0.3833333333333333,4.943333333333333,1.0433333333333332,0.51
5.920000000000001,0.4533333333333333,3.9933333333333336,0.8300000000000001,0.42
4.617,0.22,3.9599999999999995,1.12,0.21
5.115,0.36000000000000004,4.77,1.1,0.36000000000000004
6.141000000000001,0.36999999999999994,4.24,0.8000000000000002,0.36999999999999994
6.472,0.38999999999999996,4.5,0.7799999999999999,0.4000000000000001
6.399,0.48,5.38,1.07,0.48
6.263000000000001,0.41,4.27,0.84,0.42
5.309,0.21,4.9,0.71,0.22
6.706,0.34,3.91,0.6999999999999998,0.36000000000000004
6.317,0.27,4.07,0.7799999999999999,0.34
4.917333333333333,0.5006033333333334,5.363333333333333,0.9899999999999999,0.45
5.351,0.4033333333333333,6.973333333333334,1.16,0.57
6.308,0.3333333333333333,5.243333333333333,1.45,0.6533333333333333
5.666666666666667,0.3733333333333333,4.6066666666666665,1.0166666666666666,0.6433333333333334
5.335333333333334,0.4533333333333333,4.923333333333333,0.6733333333333333,0.33
5.906766666666667,0.48,4.53,0.8966666666666668,0.5533333333333333
5.666666666666667,0.3466666666666667,5.3933333333333335,0.7999999999999999,0.44
6.433333333333334,0.43,4.7302800000000005,0.9166666666666666,0.5566666666666666
5.179333333333333,0.39666666666666667,5.336666666666667,0.8348800000000001,0.49
6.152,0.3233333333333333,5.636666666666667,1.1633333333333333,0.4266666666666667
6.1066666666666665,0.51,4.75,0.8966666666666666,0.56
5.466666666666666,0.5166666666666667,4.796666666666667,1.0566666666666666,0.6433333333333334
5.999,0.5333333333333333,6.223333333333334,0.93,0.51
5.690666666666666,0.42,6.743333333333333,0.9533333333333333,0.3966666666666667
5.4433333333333325,0.5466666666666667,4.906666666666666,1.19,0.7400000000000001
5.766666666666667,0.39333333333333337,4.383333333333334,1.0233333333333334,0.5966666666666667
5.826666666666667,0.35000000000000003,3.6133333333333333,1.1833333333333333,0.5466666666666667
5.619366666666667,0.52,5.941886666666666,1.0899999999999999,0.6333333333333334
4.619,0.21,3.8800000000000003,1.27,0.3499999999999999
4.768,0.25,3.93,1.3,0.38000000000000006
5.626,0.27,3.76,1.13,0.43
5.952000000000001,0.3,4.02,1.24,0.44
6.169999999999999,0.3,4.02,1.13,0.44
6.3790000000000004,0.3499999999999999,3.68,1.19,0.46
5.087333333333333,0.47,4.786666666666666,1.2866666666666666,0.5266666666666667
5.750333333333334,0.6133333333333334,5.043333333333333,0.7766666666666667,0.4966666666666666
5.633333333333333,0.3833333333333333,4.773333333333333,0.9466666666666668,0.5066666666666666
6.0566666666666675,0.3933333333333333,4.876666666666666,1.0066666666666666,0.6333333333333333
5.773666666666666,0.25,4.066666666666667,0.8433333333333334,0.43
5.814666666666667,0.4133333333333334,5.673333333333333,1.1966666666666668,0.5666666666666668
6.453,0.5033333333333333,7.78,0.7766666666666667,0.44999999999999996
5.727333333333334,0.49666666666666665,4.71,0.5833333333333334,0.5533333333333333
4.661833333333333,0.4666666666666666,5.56,1.1900000000000002,0.6633333333333334
4.863666666666666,0.44031666666666663,5.286666666666667,1.3299999999999998,0.6566666666666666
5.907666666666667,0.3833333333333333,4.1499999999999995,1.1866666666666665,0.7766666666666667
5.866666666666667,0.48,3.134423333333333,0.9266666666666667,0.5166666666666666
5.635000000000001,0.36000000000000004,4.92,0.77,0.45
6.192,0.38999999999999996,4.93,0.82,0.48
6.165,0.38000000000000006,4.84,0.77,0.44
6.386,0.36999999999999994,4.91,0.6999999999999998,0.43
6.594,0.36000000000000004,4.67,0.77,0.43
6.372,0.4000000000000001,5.02,0.83,0.45
6.172999999999999,0.3499999999999999,4.67,0.8000000000000002,0.46
6.515,0.36999999999999994,5.14,0.75,0.46
6.296,0.36999999999999994,5.09,0.66,0.41
4.797,0.31333333333333335,5.296666666666667,1.25,0.5566666666666666
5.883,0.6033333333333334,5.646666666666667,0.9766666666666666,0.6166666666666667
6.126,0.47333333333333333,5.463333333333334,0.9933333333333333,0.55
6.474999999999999,0.41,4.79,0.9733333333333333,0.4566666666666666
6.382000000000001,0.3566666666666667,5.666666666666667,1.1900000000000002,0.5299999999999999
5.980999999999999,0.41999999999999993,6.46985,0.8455766666666666,0.4533333333333333
6.281,0.53,5.5,1.1466666666666667,0.5033333333333333
6.517,0.48,5.703333333333333,0.8033333333333333,0.5166666666666666
6.361999999999999,0.4066666666666667,4.9433333333333325,1.0333333333333334,0.5933333333333334
5.145,0.49000000000000005,4.39,1.1966666666666665,0.7000000000000001
5.858999999999999,0.4733333333333334,5.323333333333333,1.7700000000000002,0.3833333333333333
5.864999999999999,0.47333333333333333,5.576666666666667,1.3366666666666667,0.49000000000000005
6.242999999999999,0.51,5.816666666666666,0.7866666666666666,0.69
6.343,0.6566666666666667,5.843333333333334,0.8233333333333333,0.5499999999999999
