NoEssai,NoBloc,NoTraitement,clr_N,clr_P,clr_K,clr_Ca,clr_Mg,clr_Fv,RendVendable,rv_cut,yieldClass,Cultivar,Maturity5,pred_yield
14,1,3,0.8513534270903294,-2.0552261410326884,0.1709859731767831,-0.9371957665074775,-1.5385353978142997,3.5086179050873523,30.60862714,36.33133751,LY,FL 1207,mid-season late,LY
15,1,1,0.7692791819035465,-2.165685230409067,0.45837931462005077,-0.8551026910248725,-1.9764432307705384,3.7695726556808804,13.07165436,36.5325879875,LY,Bijou Rouge,early,LY
15,1,2,0.8430393189494096,-1.9584253267922258,0.44513568354182187,-1.0803558077382687,-1.927653668125473,3.6782598001647355,26.74018792,36.5325879875,LY,Bijou Rouge,early,LY
15,1,6,0.9081592076458245,-1.8706600643445923,0.3348633158063219,-1.0269400253052727,-1.8706600643445923,3.525237630542308,37.40522537,36.5325879875,HY,Bijou Rouge,early,HY
16,1,1,0.8241981358010055,-2.2952896408303096,0.514636751847116,-0.6105022911544222,-2.098579346584255,3.665536390920868,22.53815839,38.80610084,LY,Peribonka,early mid-season,LY
16,1,2,0.9028509612140607,-1.9520967884829674,0.48254802652414464,-0.9675978065822792,-2.077259931436974,3.6115555387640184,36.52900671,38.80610084,LY,Peribonka,early mid-season,LY
16,1,3,0.9643454032327572,-1.9486261865806482,0.4924778405489585,-1.109525093397623,-1.9776137234539006,3.578941759650455,41.69798054,38.80610084,HY,Peribonka,early mid-season,LY
16,1,4,0.93813889079131485,-1.788078614266344,0.48918867074341144,-1.1534276403880073,-1.9887493097284956,3.5029280028481176,45.10019195,38.80610084,HY,Peribonka,early mid-season,HY
16,1,5,0.9905957828321075,-1.8936166947035225,0.4922447385311246,-1.1003860555865947,-2.0346952929634283,3.545857521890315,36.83938389,38.80610084,LY,Peribonka,early mid-season,LY
17,1,2,0.8320987269793219,-2.091421212460745,0.40727875945959147,-0.7830883928105661,-1.9662580695067384,3.6013901883391366,29.06801678,39.983704574,LY,Pike,mid-season,LY
17,1,3,0.9406768295158652,-1.9188313537246948,0.4492109559239945,-1.0757440258738349,-2.0439944966787014,3.6486820908373736,39.1314,39.983704574,LY,Pike,mid-season,HY
17,1,4,0.9333942443824128,-1.9016148719301196,0.38133424654706705,-1.0307865141327222,-1.9886262489197497,3.6062991440531103,39.4298396,39.983704574,LY,Pike,mid-season,LY
17,1,7,0.9237676542671811,-2.2832195989357666,0.5632741527883436,-0.8856256825619431,-2.0420575421188785,3.7238610165610604,16.66486711,39.983704574,LY,Pike,mid-season,LY
17,1,8,1.0338465323197092,-1.9444621000870286,0.385030445826942,-1.0842608348639167,-2.0397722798913533,3.649618236695646,42.41423557,39.983704574,HY,Pike,mid-season,LY
17,1,9,1.0634922949121233,-2.055563194673866,0.43527819063394846,-1.0570343645627394,-2.0919308388447413,3.7057579125352773,29.30676846,39.983704574,LY,Pike,mid-season,HY
18,1,2,0.6822054823940311,-2.0543986640572656,0.4671834642891417,-0.9443576795655324,-1.8381755555876294,3.6875429525272585,30.6079651,37.34314992950001,LY,Prospect,mid-season,LY
18,1,4,0.8627653823008399,-1.8144982790715134,0.2913765196764784,-1.0635315276227417,-1.8144982790715134,3.5383861837884503,42.21129664,37.34314992950001,HY,Prospect,mid-season,HY
18,1,5,0.9309454091436908,-1.7705755865035973,0.2908474496735609,-1.190757091250655,-1.844683558657319,3.58422337759432,39.96703087,37.34314992950001,HY,Prospect,mid-season,HY
18,1,6,0.9134046336593209,-1.8849705367357892,0.29210947450796265,-1.0487225125351705,-1.8108625645820675,3.539041505685744,39.76409195,37.34314992950001,HY,Prospect,mid-season,HY
19,1,4,0.9114250758181806,-1.8976686437964552,0.5480172928382641,-1.2045214632365098,-1.8723508358121648,3.5150985741886815,39.69246644,32.6,HY,Superior,early mid-season,LY
19,1,5,0.75695570073891,-1.833155202498614,0.5835023467552798,-1.031527378944598,-1.833155202498614,3.3573797364476343,37.16169866,32.6,HY,Superior,early mid-season,HY
19,1,6,0.8633512388527893,-1.8629061839742698,0.48030576255004664,-1.1456614518352644,-1.8388086323952098,3.5037192668019057,35.26362282,32.6,HY,Superior,early mid-season,HY
19,1,7,0.9483901233266443,-2.2816611185395588,0.868221834841691,-1.0635036792216659,-2.2351411029046653,3.7636939424975533,9.872381879,32.6,LY,Superior,early mid-season,LY
19,1,8,1.0219094565500155,-1.9599028528659512,0.48244418250325305,-1.2377681354327543,-1.9027444390260029,3.596061788271437,37.4243255,32.6,HY,Superior,early mid-season,HY
19,1,9,0.9948859501315903,-2.1576917817687353,0.5552845376695306,-1.0968198210834728,-1.927168123156903,3.6315092382079883,26.19105906,32.6,LY,Superior,early mid-season,LY
20,1,1,0.6950602598327413,-2.3957657198803957,0.5207171820194554,-0.596101071145227,-1.8849400961144043,3.6610294452878307,23.11116242,30.659018009,LY,Yukon Gold,mid-season,LY
20,1,2,0.6732836519718228,-2.274937638911116,0.4799961480899442,-0.6262790133237348,-1.8562273040529313,3.6041641562260143,30.6079651,30.659018009,LY,Yukon Gold,mid-season,LY
20,1,3,0.8095756494845023,-2.227156380566925,0.40659589681864006,-0.7956054278589133,-1.7617931308776913,3.5683833930003828,41.54279195,30.659018009,HY,Yukon Gold,mid-season,HY
20,1,5,0.8555488744790671,-2.1681227677641655,0.4271319391927002,-0.8419323307139797,-1.785130515508059,3.512504800314435,35.44268658,30.659018009,HY,Yukon Gold,mid-season,HY
20,1,6,0.8563125743191486,-2.046520895439347,0.3062139812401701,-0.8227454638172311,-1.7732275604396657,3.479967364136925,36.32606779,30.659018009,HY,Yukon Gold,mid-season,HY
21,1,1,0.7762332281986386,-1.9744151668250822,0.6405446112111162,-1.214128683427508,-1.7512716155108725,3.5230376263537084,20.74299578,36.887540984,LY,Chieftain,mid-season,LY
21,1,2,0.8211522733797914,-1.9437144027660795,0.593233125146964,-1.2005568016314725,-1.7360750379878351,3.465960843858632,24.45924678,36.887540984,LY,Chieftain,mid-season,LY
21,1,3,0.8494838025926326,-1.936988360285381,0.607510386704865,-1.2307690981580826,-1.7903848860935052,3.5011481552394716,23.79476306,36.887540984,LY,Chieftain,mid-season,LY
21,1,4,0.9009856026351923,-1.9473747650012645,0.6381514501490315,-1.3097974355961308,-1.7970925619519265,3.5151277097651015,17.47089056,36.887540984,LY,Chieftain,mid-season,LY
21,1,5,0.9247831116422041,-1.9830282805393167,0.5797820386734704,-1.2227417971417425,-1.8053471033018638,3.5065520306672497,21.33114194,36.887540984,LY,Chieftain,mid-season,LY
21,1,6,0.8470308071682706,-1.921173316753686,0.6085473488241062,-1.1912121630710244,-1.803390281097303,3.4601976049296357,20.54174222,36.887540984,LY,Chieftain,mid-season,LY
21,1,7,0.8561807197797906,-2.0138263481306455,0.5771548480488375,-1.1871477749461783,-1.7405330131309644,3.5081715683791574,25.4047915,36.887540984,LY,Chieftain,mid-season,LY
21,1,8,0.8881237990281909,-1.980235684892484,0.6510696679184562,-1.2736654840003987,-1.7625122010476137,3.4772199029938498,26.43187861,36.887540984,LY,Chieftain,mid-season,LY
21,1,9,0.9009590733808559,-1.9332077110781127,0.6883223928281854,-1.3544708816959123,-1.8305535570180296,3.5289506835830107,20.21904256,36.887540984,LY,Chieftain,mid-season,LY
22,1,1,0.5030525011721343,-2.349491512333068,0.8748240358309509,-0.4569273439830477,-2.221658140823183,3.6502004601362135,4.070716107,29.8710452,LY,AC Belmont,early,LY
22,1,2,0.6879508131601271,-2.4729106166474457,0.8093667195712508,-0.6811511474193912,-1.8503810033014538,3.5071252346369133,24.47204698,29.8710452,LY,AC Belmont,early,LY
22,1,4,0.6676782562990611,-2.3654239062633615,0.7480914029470132,-0.8032388786798061,-1.691694811560517,3.4445879372576087,38.4628953,29.8710452,HY,AC Belmont,early,HY
22,1,6,0.7206541035815746,-2.3763704214542885,0.711029040625526,-0.8077545035404436,-1.7240452354145988,3.476487016202231,23.14697517,29.8710452,LY,AC Belmont,early,LY
22,1,7,0.5770558618179762,-2.447830601388588,0.7776897661982818,-0.6560711321605326,-1.6940587990122071,3.4432149045450737,16.24705168,29.8710452,LY,AC Belmont,early,LY
22,1,9,0.7249233851019432,-2.3225928032064815,0.7463210876411006,-0.8062453138383936,-1.7897882727217156,3.4473819170235473,25.39124094,29.8710452,LY,AC Belmont,early,HY
