NoEssai,NoBloc,NoTraitement,clr_N,clr_P,clr_K,clr_Ca,clr_Mg,clr_Fv,RendVendable,rv_cut,yieldClass,Cultivar,Maturity5,pred_yield
6,1,1,-1.7305573884535466,-0.4160428512917961,1.180947801259314,0.41679573849798024,-0.9264648542671308,1.9065076846256181,23.71997919,37.34314992950001,LY,Prospect,mid-season,LY
6,1,2,-1.1444886931411131,-0.26481993149641053,1.0772846863435788,-0.7055841949220049,-0.19928003374761447,1.5672297930700125,33.7953,37.34314992950001,LY,Prospect,mid-season,HY
6,1,3,0.21752575214533804,6.136765854807737e-4,1.1839432674198251,-0.3200274148244234,-1.6092107506751363,1.4391091480157499,34.04598926,37.34314992950001,LY,Prospect,mid-season,HY
6,1,4,0.9795472245805896,-0.42058258982222413,1.1756233392002047,-0.23558209077907863,-1.3215210548016185,0.45354794391468484,38.35545705,37.34314992950001,HY,Prospect,mid-season,LY
6,1,5,0.8195117339226928,-0.11144603679420828,0.9893337294553936,-0.7926752908983621,-0.662133711091984,0.043236056360060726,39.77602953,37.34314992950001,HY,Prospect,mid-season,HY
6,1,6,0.26337108084041827,-1.1003707562999698,0.5519245101305217,-0.4628844601373424,0.9544312199336363,-0.6290828276148146,42.82011342,37.34314992950001,HY,Prospect,mid-season,LY
6,2,1,-0.44785513675204386,0.0026083702808089495,1.0817940052113602,-0.16112479886027092,-1.6952554153613457,2.4271613851055602,22.63365906,37.34314992950001,LY,Prospect,mid-season,LY
6,2,2,-0.044829263844755,-0.06923305247652678,1.1103642278573678,-0.23420184966443613,-1.757599880243877,2.250064894002048,24.36460872,37.34314992950001,LY,Prospect,mid-season,LY
6,2,3,0.5071699097959591,-0.4916783971235431,0.6825800323198489,-0.3190057099041464,-0.693720199724406,1.0128400662743293,27.58775638,37.34314992950001,LY,Prospect,mid-season,LY
6,2,4,1.1135811190964167,-0.4712309131428282,1.1875377533055356,-0.35045299917455036,-1.4957123838896502,0.9608520897354672,29.41420671,37.34314992950001,LY,Prospect,mid-season,LY
6,2,5,1.0847558666974426,-0.7247797885067405,1.2281952782124788,0.6066386923624231,-1.7108279402946305,0.055293231421460226,34.77418188,37.34314992950001,LY,Prospect,mid-season,LY
6,2,6,1.3471039803280425,-1.0467763320607084,1.1951525712025919,0.05007897442584768,-1.7104593252733695,1.471369006464609,35.80081409,37.34314992950001,LY,Prospect,mid-season,LY
6,3,1,0.1129474675313658,-1.7626346929630994,1.4889963454010307,0.43644688478302573,-1.0752731703881508,1.7226647657216554,19.14191577,37.34314992950001,LY,Prospect,mid-season,LY
6,3,2,-0.3355499357715157,-1.0886839208394454,1.3833990630614048,-0.3283007638250208,-0.35950604814189113,1.0858279882169164,27.48628691,37.34314992950001,LY,Prospect,mid-season,LY
6,3,3,0.42569856289843233,-0.6270675941691695,0.9940899303709477,-0.3040646324901252,-0.9888292057999767,1.3621763639365203,32.35682114,37.34314992950001,LY,Prospect,mid-season,LY
6,3,4,1.6716279067855855,-0.38151556494188943,0.6743794762232298,-0.10653571753367475,-1.8665855205268103,1.4931187142944031,37.53176376,37.34314992950001,HY,Prospect,mid-season,HY
6,3,5,1.184913917030182,-0.944184892299684,1.1787677697824397,-0.5681041824480207,-1.0958554470561657,1.3258131863677214,35.61578154,37.34314992950001,LY,Prospect,mid-season,LY
6,3,6,1.550027562697982,-0.4992295836253269,1.2821558752326825,-0.4855783287473797,-1.6555654931775081,0.8523546505212035,37.85407852,37.34314992950001,HY,Prospect,mid-season,HY
7,1,1,-1.1563441829114867,-1.0129290090600929,1.3910539236329997,0.1719796063719668,-0.13928860412319444,0.5606535901937938,30.65571544,30.659018009,LY,Yukon Gold,mid-season,LY
7,1,2,-1.2374404363557108,-1.0390587999625556,0.9244274935678656,0.516376462672003,0.07818760786822737,0.5564971233185855,38.69567819,30.659018009,HY,Yukon Gold,mid-season,LY
7,1,3,-0.8896313774045863,-0.8825943127913544,0.5676360174729209,0.6246515448149881,0.3964089172006519,-0.3818654732879636,33.09098255,30.659018009,HY,Yukon Gold,mid-season,LY
7,1,4,-0.2509443266424098,-1.0170211163112632,0.7190956197401392,0.05498885141882394,0.6358776294048721,-0.7368470098064474,36.9856193,30.659018009,HY,Yukon Gold,mid-season,HY
7,1,5,-0.18603255955524797,-0.8461854298050127,0.6926918150445353,0.2784468867833736,0.2482262485533849,-0.65786562013606,38.03314228,30.659018009,HY,Yukon Gold,mid-season,LY
7,1,6,0.24998912447745714,-0.643270146313497,0.27529352089505194,-0.15663521336158812,0.6222362045783224,-0.7589913588209763,39.59995017,30.659018009,HY,Yukon Gold,mid-season,LY
7,2,1,-1.1570377581395785,-1.108410123318584,1.2772325503500446,0.4063162372963695,-0.060132547899820046,0.3608845225833214,30.43188574,30.659018009,LY,Yukon Gold,mid-season,LY
7,2,2,-1.1163800595448776,-0.6983195192564087,0.8987829824110083,1.3531214367235747,-0.728015012409312,-0.008178322422629612,41.46221326,30.659018009,HY,Yukon Gold,mid-season,LY
7,2,3,-0.6143848626362258,-0.5922794545818157,1.2083210506423234,-0.3561493143338883,0.22575387931433652,-0.404410365870897,42.95739564,30.659018009,HY,Yukon Gold,mid-season,LY
7,2,4,-0.2881235519291162,-0.7286368440502181,-0.003629396031470507,1.043184182116006,0.31503043712920364,-0.8965046743145023,37.75559346,30.659018009,HY,Yukon Gold,mid-season,HY
7,2,5,-0.43267940256074955,-0.6019947008416657,0.05495337668707731,0.9858971181662326,0.3936822222264176,-1.1418856309877419,37.47804463,30.659018009,HY,Yukon Gold,mid-season,HY
7,2,6,-0.3971176724128518,-1.1297774516943064,0.016593329880350158,1.1728671297766442,0.7431054969378238,-1.2227298450969097,41.29210268,30.659018009,HY,Yukon Gold,mid-season,HY
7,3,1,-1.7759502139368493,-0.880878680818047,0.9623290051714625,0.6725563777991564,0.07990169152112898,0.5820091825449648,24.16465419,30.659018009,LY,Yukon Gold,mid-season,LY
7,3,2,-1.5288842734380448,-0.764130636193749,0.6797002428664204,0.9981217959171854,0.25495322049667085,-0.39628814057478573,28.16672919,30.659018009,LY,Yukon Gold,mid-season,LY
7,3,3,-1.0167723165924423,-0.31567217016795596,0.3807234579293302,0.4670128000349311,0.5593412277708129,-0.9877993289343919,27.29826997,30.659018009,LY,Yukon Gold,mid-season,LY
